University,Program,Co-op(TrueorFalse),Pr1,Pr2,Pr3,Pr4,Pr5,Minaverage,Maxaverage,Extracurrciulars,Budget,Residence(TrueorFalse),X-Coordinate,Y-Coordinate,Competitiveness,Link
Ryerson,MechanicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,85,TRUE,11140.47,TRUE,79.38,43.66,1,https://www.ryerson.ca/programs/undergraduate/mechanical-engineering/,
Ryerson,AerospaceEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,85,TRUE,11140.47,TRUE,79.38,43.66,1,https://www.ryerson.ca/programs/undergraduate/aerospace-engineering/,
Carleton,BiomedicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,75,80,TRUE,11823.00,TRUE,75.7,45.39,5,https://admissions.carleton.ca/programs/biomedical-and-mechanical-engineering/,
Carleton,CommunicationEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,75,80,TRUE,11823.00,TRUE,75.7,45.39,5,https://carleton.ca/engineering-design/future-students/undergraduate-programs/communications-engineering/,
Carleton,CivilEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,75,80,TRUE,11823.00,TRUE,75.7,45.39,5,https://admissions.carleton.ca/programs/civil-engineering/,
Carleton,ComputerEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,75,80,TRUE,11823.00,TRUE,75.7,45.39,5,https://admissions.carleton.ca/programs/computer-systems-engineering/,
Carleton,MechanicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,75,80,TRUE,11823.00,TRUE,75.7,45.39,5,https://admissions.carleton.ca/programs/mechanical-engineering/,
Carleton,SoftwareEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,75,80,TRUE,11823.00,TRUE,75.7,45.39,5,https://admissions.carleton.ca/programs/software-engineering-beng/,
UniversityofWaterloo,ArchitecturalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/architectural-engineering,
UniversityofWaterloo,BiomedicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,95,100,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/biomedical-engineering,
UniversityofWaterloo,CivilEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,90,100,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/chemical-engineering,
UniversityofWaterloo,CivilEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/civil-engineering,
UniversityofWaterloo,ComputerEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,90,95,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/computer-engineering,
UniversityofWaterloo,ElectricalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,90,95,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/electrical-engineering,
UniversityofWaterloo,EnvironmentalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/environmental-engineering,
UniversityofWaterloo,GeologicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/geological-engineering,
UniversityofWaterloo,ManagementEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,89,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/management-engineering,
UniversityofWaterloo,MechanicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,90,95,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/mechanical-engineering,
UniversityofWaterloo,MechatronicsEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,93,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/mechatronics-engineering,
UniversityofWaterloo,NanotechnologyEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,89,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/nanotechnology-engineering,
UniversityofWaterloo,SoftwareEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,95,100,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/software-engineering,
UniversityofWaterloo,SystemsDesignEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,93,TRUE,16000.00,TRUE,81,43,9,https://uwaterloo.ca/future-students/programs/systems-design-engineering
